id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length
179,B6,735,JFK,BQN,3,355,215
180,DL,377,BDL,DTW,3,355,130
181,HA,202,HNL,ITO,3,355,49
182,MQ,2864,SGF,DFW,3,355,90
183,OH,6262,OMA,DTW,3,355,137
184,OH,6414,AZO,DTW,3,355,58
185,OO,7014,RDM,SFO,3,355,101
186,9E,3668,TYS,LGA,3,360,131
187,9E,3724,ABE,DTW,3,360,115
188,9E,3755,SWF,DTW,3,360,120
189,9E,3757,BGM,DTW,3,360,103
190,9E,3795,SBN,CVG,3,360,60
191,9E,3845,AVP,DTW,3,360,105
192,9E,3850,FNT,DTW,3,360,48
193,9E,3871,BHM,DTW,3,360,125
194,9E,3875,GSP,DTW,3,360,115
195,9E,3893,FWA,ATL,3,360,115
196,9E,3923,IAH,MEM,3,360,95
197,9E,3957,ATW,MSP,3,360,76
198,9E,3985,DSM,MEM,3,360,100
199,9E,4008,BTV,JFK,3,360,100
200,9E,4026,ORF,DTW,3,360,125
201,9E,4058,LAN,DTW,3,360,50
202,9E,4239,ITH,DTW,3,360,97
203,9E,4272,ECP,MEM,3,360,90
204,9E,4324,DCA,JFK,3,360,82
205,AA,1056,TUL,DFW,3,360,70
206,AA,1140,SAT,DFW,3,360,65
207,AA,1143,TPA,DFW,3,360,170
208,AA,1215,DCA,DFW,3,360,210
209,AA,1225,COS,DFW,3,360,120
210,AA,1406,OMA,DFW,3,360,125
211,AA,1584,LAS,DFW,3,360,160
212,AA,1596,PDX,DFW,3,360,225
213,AA,1602,ELP,DFW,3,360,100
214,AA,1615,BDL,DFW,3,360,260
215,AA,1631,MSY,MIA,3,360,105
216,AA,1670,AUS,ORD,3,360,165
217,AA,1755,ABQ,DFW,3,360,105
218,AA,1839,OKC,DFW,3,360,60
219,AA,1843,BOS,ORD,3,360,175
220,AA,1878,SMF,DFW,3,360,205
221,AA,1921,EWR,MIA,3,360,185
222,AA,1965,STL,DFW,3,360,115
223,AA,1994,IAH,MIA,3,360,135
224,AA,2037,BNA,MIA,3,360,135
225,AA,2060,SEA,ORD,3,360,245
226,AA,2103,IAD,MIA,3,360,160
227,AA,2203,LGA,MIA,3,360,190
228,AA,2299,DTW,MIA,3,360,190
229,AA,2301,ORD,DFW,3,360,150
230,AA,445,DCA,ORD,3,360,125
231,AA,526,SFO,DFW,3,360,215
232,AA,528,LAX,MIA,3,360,280
233,AA,548,LAX,ORD,3,360,240
234,AA,552,SFO,MIA,3,360,315
235,AA,654,PHX,DFW,3,360,130
236,AA,708,AUS,DFW,3,360,60
237,AS,454,SEA,LAX,3,360,150
238,AS,55,ANC,FAI,3,360,58
239,AS,600,SEA,LAS,3,360,143
240,AS,62,FAI,ANC,3,360,70
241,AS,81,SEA,ANC,3,360,219
242,B6,1001,BOS,JFK,3,360,71
243,B6,1133,SYR,JFK,3,360,85
244,B6,1224,RDU,BOS,3,360,101
245,B6,155,JFK,MCO,3,360,168
246,B6,162,RSW,JFK,3,360,156
247,B6,1695,BOS,MCO,3,360,192
248,B6,19,BTV,JFK,3,360,84
249,B6,247,OAK,LGB,3,360,77
250,B6,370,FLL,LGA,3,360,159
251,B6,371,LGA,FLL,3,360,174
252,B6,442,TPA,BOS,3,360,167
253,B6,45,ROC,JFK,3,360,83
254,B6,52,MCO,JFK,3,360,141
255,B6,68,FLL,JFK,3,360,160
256,B6,701,JFK,SJU,3,360,218
257,CO,1045,CLE,IAH,3,360,190
258,CO,1428,CLT,IAH,3,360,180
259,CO,1617,MCI,IAH,3,360,118
260,CO,1810,SMF,IAH,3,360,220
261,CO,1815,OMA,IAH,3,360,138
262,CO,308,PDX,IAH,3,360,238
263,CO,469,SFO,IAH,3,360,225
264,CO,759,DCA,IAH,3,360,206
265,CO,89,IAH,EWR,3,360,200
266,DL,1084,ANC,MSP,3,360,326
267,DL,1106,SEA,SLC,3,360,120
268,DL,1157,CMH,ATL,3,360,110
269,DL,1181,RSW,ATL,3,360,110
270,DL,1249,PWM,ATL,3,360,192
271,DL,1297,JFK,ATL,3,360,168
272,DL,1301,IND,ATL,3,360,105
273,DL,1371,BOS,LGA,3,360,68
274,DL,1401,BOS,ATL,3,360,190
275,DL,1445,DCA,DTW,3,360,102
276,DL,1447,LGA,ATL,3,360,167
277,DL,1504,MCI,DTW,3,360,118
278,DL,1602,LAS,ATL,3,360,223
279,DL,1625,BWI,ATL,3,360,120
280,DL,1767,CLT,DTW,3,360,115
281,DL,1831,PDX,SLC,3,360,107
282,DL,1889,CVG,ATL,3,360,103
283,DL,1949,RDU,ATL,3,360,87
284,DL,2205,MDW,ATL,3,360,120
285,DL,2280,STL,ATL,3,360,110
286,DL,2437,CLT,ATL,3,360,82
287,DL,2480,SEA,DTW,3,360,253
288,DL,2525,BOS,MSP,3,360,210
289,DL,2530,BZN,MSP,3,360,138
290,DL,2581,SDF,ATL,3,360,84
291,DL,2806,SFO,MSP,3,360,222
292,DL,2816,LAS,DTW,3,360,233
293,DL,725,SFO,SLC,3,360,113
294,EV,4942,JAX,DCA,3,360,112
295,EV,4946,ABY,ATL,3,360,50
296,EV,4979,TRI,ATL,3,360,67
297,EV,4998,XNA,ATL,3,360,119
298,EV,5011,ROA,DTW,3,360,98
299,EV,5027,MLI,ATL,3,360,130
300,EV,5079,LYH,ATL,3,360,85
301,EV,5141,EVV,ATL,3,360,80
302,EV,5169,HPN,ATL,3,360,151
303,EV,5265,SYR,DTW,3,360,115
304,EV,5275,FAY,ATL,3,360,86
305,EV,5313,EWN,ATL,3,360,98
306,EV,5316,CSG,ATL,3,360,44
307,EV,5366,SGF,ATL,3,360,119
308,EV,5374,CAK,ATL,3,360,109
309,EV,5387,GPT,ATL,3,360,80
310,EV,5435,MLU,ATL,3,360,98
311,EV,5460,MOB,ATL,3,360,77
312,EV,5479,LFT,ATL,3,360,120
313,EV,5491,OAJ,ATL,3,360,98
314,EV,5507,CHO,ATL,3,360,102
315,EV,5564,ILM,ATL,3,360,88
316,EV,5605,ROA,ATL,3,360,86
317,EV,7070,ROA,ORD,3,360,116
318,EV,7075,DTW,IAD,3,360,90
319,EV,7086,DAY,IAD,3,360,90
320,EV,7097,CMH,ORD,3,360,82
321,EV,7100,CAE,ORD,3,360,128
322,EV,7116,JFK,IAD,3,360,81
323,EV,7323,BMI,ATL,3,360,115
324,EV,7378,DEN,CVG,3,360,158
325,F9,225,MDW,DEN,3,360,157
326,F9,377,BOS,MKE,3,360,165
327,FL,143,DTW,ATL,3,360,125
328,FL,155,IND,BWI,3,360,105
329,FL,183,DCA,ATL,3,360,123
330,FL,200,CAK,ATL,3,360,120
331,FL,254,FNT,ATL,3,360,134
332,FL,281,BOS,ATL,3,360,180
333,FL,359,LGA,ATL,3,360,161
334,FL,429,PNS,ATL,3,360,69
335,FL,557,BUF,ATL,3,360,135
336,FL,630,DAY,BWI,3,360,93
337,FL,726,DFW,MKE,3,360,135
338,FL,738,MSP,MKE,3,360,70
339,FL,84,FLL,ATL,3,360,113
340,FL,901,PHF,ATL,3,360,123
341,FL,912,MKE,BWI,3,360,120
342,FL,942,ROC,BWI,3,360,83
343,FL,967,ACY,ATL,3,360,135
344,MQ,2731,CVG,DFW,3,360,165
345,MQ,2750,JAN,DFW,3,360,100
346,MQ,2963,CID,DFW,3,360,140
347,MQ,3256,GRK,DFW,3,360,50
348,MQ,3265,HOU,DFW,3,360,70
349,MQ,3280,CRP,DFW,3,360,80
350,MQ,3325,DSM,DFW,3,360,130
351,MQ,3357,MOB,DFW,3,360,115
352,MQ,3372,BTR,DFW,3,360,90
353,MQ,3450,XNA,DFW,3,360,70
354,MQ,3512,MKE,DFW,3,360,165
355,MQ,3650,TYS,MIA,3,360,135
356,MQ,3736,ORD,EWR,3,360,120
357,MQ,3748,ORD,MSP,3,360,85
358,MQ,3768,EWR,ORD,3,360,165
359,MQ,3807,ORD,ATL,3,360,120
360,MQ,3853,ATL,ORD,3,360,115
361,MQ,3884,CLE,ORD,3,360,85
362,MQ,3908,CRW,ORD,3,360,105
363,MQ,3914,ICT,ORD,3,360,105
364,MQ,3939,BNA,ORD,3,360,105
365,MQ,4067,RIC,ORD,3,360,140
366,MQ,4114,PIT,ORD,3,360,105
367,MQ,4176,CMH,ORD,3,360,80
368,MQ,4223,ROC,ORD,3,360,125
369,MQ,4260,BWI,ORD,3,360,140
370,MQ,4275,MSN,ORD,3,360,55
371,MQ,4382,BOS,JFK,3,360,79
372,MQ,4420,BOS,LGA,3,360,80
373,MQ,4448,DCA,JFK,3,360,70
374,MQ,4581,CLT,LGA,3,360,110
375,MQ,4625,LGA,RDU,3,360,100
376,MQ,4629,RDU,LGA,3,360,95
377,MQ,4650,LGA,ATL,3,360,150
378,MQ,4697,DTW,LGA,3,360,100
379,OH,6341,RIC,DTW,3,360,125
380,OH,6357,BDL,DCA,3,360,84
381,OH,6379,BOS,JFK,3,360,88
382,OH,6401,HTS,CVG,3,360,53
383,OH,6560,ORD,JFK,3,360,133
384,OH,6655,OMA,MEM,3,360,114
385,OH,6668,CHS,LGA,3,360,118
386,OO,4611,SAT,SLC,3,360,175
387,OO,4662,ABQ,SLC,3,360,101
388,OO,4676,BNA,MSP,3,360,144
389,OO,4765,LAS,LAX,3,360,75
390,OO,4802,DFW,SLC,3,360,168
391,OO,4888,COS,MSP,3,360,135
392,OO,6245,MFR,SFO,3,360,81
393,OO,6285,MFR,DEN,3,360,155
394,OO,6300,FAT,LAX,3,360,59
395,OO,6330,ONT,SFO,3,360,85
396,OO,6345,PSC,SFO,3,360,125
397,OO,6359,BOI,SFO,3,360,112
398,OO,6399,ORD,MCI,3,360,88
399,OO,6405,PDX,SFO,3,360,105
400,OO,6434,SBP,LAX,3,360,62
401,OO,6471,ABQ,LAX,3,360,121
402,OO,6506,ELP,LAX,3,360,137
403,OO,6512,CLD,LAX,3,360,40
404,OO,6586,PSP,DEN,3,360,131
405,OO,6612,SLC,DEN,3,360,93
406,OO,6682,SBA,DEN,3,360,142
407,OO,6684,MEM,ORD,3,360,110
408,OO,6732,MRY,DEN,3,360,146
409,OO,6743,ATW,ORD,3,360,55
410,OO,6766,GEG,SFO,3,360,136
411,OO,6820,RDD,SFO,3,360,78
412,OO,6836,PAH,ORD,3,360,78
413,OO,6893,ACV,SFO,3,360,82
414,OO,6918,CMX,ORD,3,360,82
415,OO,6930,ORD,TYS,3,360,87
416,OO,6936,SPI,ORD,3,360,60
417,OO,6948,COS,ORD,3,360,146
418,OO,6949,EUG,DEN,3,360,155
419,OO,6975,DFW,ORD,3,360,139
420,OO,6997,MKE,ORD,3,360,44
421,OO,7006,EUG,PDX,3,360,41
422,OO,7008,CIC,SFO,3,360,65
423,OO,7049,SEA,PDX,3,360,48
424,OO,7763,PIH,SLC,3,360,48
425,OO,7768,SGU,SLC,3,360,73
426,OO,7799,COD,SLC,3,360,89
427,UA,189,BWI,ORD,3,360,135
428,UA,18,LAX,DEN,3,360,146
429,UA,201,BOS,IAD,3,360,103
430,UA,203,BOS,ORD,3,360,171
431,UA,226,SFO,BOS,3,360,342
432,UA,234,OMA,ORD,3,360,96
433,UA,257,JAX,ORD,3,360,156
434,UA,303,JFK,SFO,3,360,404
435,UA,32,PDX,DEN,3,360,146
436,UA,337,PHL,ORD,3,360,137
437,UA,376,ORD,PHL,3,360,125
438,UA,410,SMF,DEN,3,360,144
439,UA,468,SEA,SFO,3,360,130
440,UA,475,CLT,ORD,3,360,133
441,UA,494,DSM,ORD,3,360,80
442,UA,506,SFO,PHX,3,360,120
443,UA,510,LAS,SFO,3,360,95
444,UA,520,MSP,ORD,3,360,84
445,UA,532,DEN,ORD,3,360,141
446,UA,650,BDL,IAD,3,360,94
447,UA,668,ORD,LGA,3,360,127
448,UA,669,LGA,ORD,3,360,150
449,UA,705,IAD,ORD,3,360,131
450,UA,707,ORD,DEN,3,360,160
451,UA,736,SFO,LAS,3,360,98
452,UA,740,OAK,DEN,3,360,146
453,UA,90,LAX,SFO,3,360,89
454,UA,922,ORD,IAD,3,360,108
455,US,1050,RDU,CLT,3,360,57
456,US,1262,MIA,PHL,3,360,169
457,US,1267,LGA,PHL,3,360,57
458,US,1296,STL,CLT,3,360,113
459,US,1440,BNA,CLT,3,360,74
460,US,1772,MHT,CLT,3,360,152
461,US,1997,ORD,CLT,3,360,118
462,US,2021,BOS,DCA,3,360,96
463,US,2114,LGA,BOS,3,360,62
464,US,2115,BOS,LGA,3,360,70
465,US,2158,DCA,LGA,3,360,60
466,US,2161,LGA,DCA,3,360,59
467,US,270,IAH,PHX,3,360,172
468,US,56,ORD,PHL,3,360,119
469,US,578,SFO,PHX,3,360,111
470,US,595,MCI,PHX,3,360,174
471,US,652,IND,PHX,3,360,235
472,US,86,OMA,PHX,3,360,175
473,US,952,FLL,PHL,3,360,157
474,US,985,MSY,CLT,3,360,108
475,WN,1067,OAK,SAN,3,360,85
476,WN,109,MSY,DEN,3,360,180
477,WN,1289,GEG,SEA,3,360,70
478,WN,1357,SMF,ONT,3,360,80
479,WN,1851,ONT,OAK,3,360,80
480,WN,1929,LAX,DEN,3,360,135
481,WN,2529,IND,DEN,3,360,185
482,WN,2643,SMF,LAX,3,360,80
483,WN,2891,MDW,IAD,3,360,105
484,WN,3061,LGA,MDW,3,360,150
485,WN,367,MDW,BNA,3,360,85
486,WN,3,LIT,DAL,3,360,70
487,WN,406,SEA,LAS,3,360,140
488,WN,425,BOS,MDW,3,360,175
489,WN,647,PHX,DEN,3,360,105
490,WN,702,MDW,LAS,3,360,245
491,WN,735,IAD,DEN,3,360,240
492,WN,748,SMF,DEN,3,360,145
493,WN,799,LAX,SFO,3,360,80
494,WN,944,OAK,ONT,3,360,75
495,XE,2143,GSP,IAH,3,360,160
496,XE,2231,JAN,IAH,3,360,77
497,XE,2384,SHV,IAH,3,360,55
498,XE,2485,ORF,IAH,3,360,201
499,XE,2614,CMH,EWR,3,360,97
500,XE,2644,GPT,IAH,3,360,81
501,XE,2652,LEX,IAH,3,360,159
502,XE,2745,BNA,EWR,3,360,127
503,XE,2904,GRR,CLE,3,360,58
504,XE,2997,MSP,EWR,3,360,158
505,XE,3037,CHS,IAH,3,360,167
506,XE,3047,BHM,IAH,3,360,116
507,XE,3066,RIC,EWR,3,360,69
508,XE,3115,PVD,CLE,3,360,117
509,XE,5905,ABE,ORD,3,360,136
510,XE,5924,ICT,ORD,3,360,110
511,XE,5941,TUL,ORD,3,360,113
512,XE,5949,BTV,ORD,3,360,159
513,XE,5958,GRB,ORD,3,360,60
514,XE,5983,CLE,IAD,3,360,75
515,XE,5984,TYS,IAD,3,360,95
516,XE,5986,FAR,ORD,3,360,112
517,XE,5991,XNA,ORD,3,360,105
518,XE,5992,FSD,ORD,3,360,96
519,YV,2692,MEM,CLT,3,360,105
520,YV,2718,MRY,PHX,3,360,145
521,YV,2931,SAT,PHX,3,360,146
522,YV,7218,ATL,IAD,3,360,100
523,YV,7236,ROC,ORD,3,360,117
524,YV,7238,ORD,JAX,3,360,135
525,YV,7287,ORF,ORD,3,360,143
526,B6,742,SJU,MCO,3,361,184
527,OO,6965,AVL,ORD,3,361,109
528,UA,664,SFO,ORD,3,361,249
529,CO,1406,PIT,IAH,3,362,188
530,OO,6497,BFL,DEN,3,362,144
531,OO,6749,RAP,DEN,3,362,76
532,OO,6829,SMF,SFO,3,362,48
533,OO,7052,DRO,DEN,3,362,76
534,UA,59,DEN,SFO,3,362,167
535,UA,635,RDU,ORD,3,362,139
536,UA,675,BUF,ORD,3,362,113
537,XE,5902,PIA,ORD,3,362,63
538,B6,1320,BWI,BOS,3,363,77
539,B6,740,PSE,JFK,3,363,237
540,DL,1943,EWR,ATL,3,363,156
541,XE,2006,GSO,EWR,3,363,89
542,XE,2783,TYS,IAH,3,363,142
543,HA,205,OGG,HNL,3,364,33
544,OO,6495,COS,LAX,3,364,161
545,OO,6991,BHM,ORD,3,364,132
546,UA,261,SFO,LAX,3,364,95
547,9E,3698,PIA,MSP,3,365,100
548,9E,3964,ALB,JFK,3,365,90
549,9E,4227,FWA,CVG,3,365,52
550,AA,1002,DEN,DFW,3,365,125
551,AA,1331,MCI,DFW,3,365,105
552,AA,1425,STL,ORD,3,365,75
553,AA,1698,SLC,DFW,3,365,170
554,AA,1851,DCA,MIA,3,365,160
555,AA,1938,MSP,MIA,3,365,225
556,AA,2127,PHL,MIA,3,365,175
557,AA,697,FLL,DFW,3,365,190
558,AA,705,LGA,DFW,3,365,250
559,AS,730,ANC,SEA,3,365,205
560,AS,73,SIT,JNU,3,365,42
561,B6,1235,BOS,RDU,3,365,125
562,B6,451,BOS,FLL,3,365,204
563,CO,1093,CMH,IAH,3,365,168
564,CO,1471,TUL,IAH,3,365,95
565,CO,151,RDU,IAH,3,365,180
566,CO,1831,PBI,IAH,3,365,163
567,DL,1024,BDL,ATL,3,365,175
568,DL,1583,RSW,CVG,3,365,141
569,DL,1937,BWI,DTW,3,365,103
570,DL,1982,MEM,ATL,3,365,85
571,DL,2385,BOS,CVG,3,365,145
572,DL,2931,LGA,DTW,3,365,118
573,DL,2940,OAK,SLC,3,365,108
574,EV,5343,GRR,ATL,3,365,130
575,FL,290,HOU,ATL,3,365,112
576,FL,461,BWI,ATL,3,365,126
577,MQ,3074,LAX,RNO,3,365,90
578,MQ,3366,CAE,DFW,3,365,185
579,MQ,3391,TXK,DFW,3,365,60
580,MQ,3894,XNA,ORD,3,365,100
581,MQ,4015,JAX,ORD,3,365,160
582,MQ,4077,ABE,ORD,3,365,140
583,OH,6358,LIT,DTW,3,365,131
584,OH,6522,PHL,MEM,3,365,178
585,OO,3045,DSM,MKE,3,365,66
586,OO,4794,ONT,SLC,3,365,104
587,OO,6232,FAT,LAS,3,365,77
588,OO,6558,RNO,DEN,3,365,129
589,OO,6722,PSC,DEN,3,365,139
590,OO,6750,ORD,ATL,3,365,124
591,UA,112,ONT,DEN,3,365,139
592,UA,524,ORD,BOS,3,365,139
593,UA,600,ORD,DCA,3,365,111
594,UA,634,ORD,EWR,3,365,125
595,US,486,RNO,PHX,3,365,107
596,WN,1136,LAS,LAX,3,365,65
597,WN,1426,STL,DAL,3,365,110
598,WN,1461,DEN,LAS,3,365,120
599,WN,1481,BNA,DEN,3,365,185
600,WN,1687,STL,DEN,3,365,150
601,WN,1772,SFO,SAN,3,365,85
602,WN,1824,MHT,BWI,3,365,110
603,WN,1945,SEA,DEN,3,365,160
604,WN,2557,STL,MDW,3,365,65
605,WN,2885,LAS,DEN,3,365,115
606,WN,28,BOS,BWI,3,365,110
607,WN,317,MDW,DEN,3,365,170
608,WN,3842,LAS,PHX,3,365,70
609,WN,388,AUS,ELP,3,365,100
610,WN,410,CMH,MDW,3,365,70
611,WN,673,DAL,SAT,3,365,65
612,XE,2528,MHT,CLE,3,365,119
613,XE,2696,DAY,CLE,3,365,54
614,XE,2995,IAD,IAH,3,365,211
615,CO,689,DTW,IAH,3,366,185
616,OO,6369,TUS,SFO,3,367,133
617,OO,6374,PSP,SFO,3,367,88
618,YV,7305,CLT,IAD,3,367,79
619,9E,3683,SCE,DTW,3,370,90
620,AA,1032,ONT,DFW,3,370,180
621,AA,1354,LAS,MIA,3,370,265
622,AA,1723,BWI,MIA,3,370,160
623,AA,2410,LAX,DFW,3,370,185
624,AA,301,LGA,ORD,3,370,160
625,AA,398,ORD,LGA,3,370,120
626,AA,488,SEA,DFW,3,370,230
627,AA,532,DFW,RDU,3,370,145
628,AA,700,DFW,LGA,3,370,190
629,AA,817,BNA,DFW,3,370,130
630,AS,151,ANC,OTZ,3,370,95
631,AS,340,SEA,OAK,3,370,122
632,AS,561,LAX,PDX,3,370,147
633,DL,1453,LGA,MSP,3,370,184
634,DL,1597,PHL,MSP,3,370,180
635,DL,1661,DTW,ATL,3,370,136
636,DL,1815,LGA,CVG,3,370,129
637,DL,2782,MSY,MEM,3,370,83
638,DL,2865,BUF,ATL,3,370,154
639,DL,328,JAN,ATL,3,370,83
640,EV,5176,VPS,MEM,3,370,88
